"analytic radiation flux density","radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.568358,0.03389609,1,0.73,0,-0.27,0
3.571106,0.03380764,1,0.732,0,-0.268,0
3.573826,0.03371846,1,0.734,0,-0.266,0
3.576533,0.03362893,1,0.736,0,-0.264,0
3.579226,0.03353977,1,0.738,0,-0.262,0
3.581891,0.03345136,1,0.74,0,-0.26,0
3.584556,0.03336296,1,0.742,0,-0.258,0
3.587193,0.03327655,1,0.744,0,-0.256,0
3.589815,0.03319109,1,0.746,0,-0.254,0
3.592423,0.03310713,1,0.748,0,-0.252,0
3.595003,0.03302627,1,0.75,0,-0.25,0
3.597582,0.03294542,1,0.752,0,-0.248,0
3.600132,0.03286845,1,0.754,0,-0.246,0
3.602668,0.03279334,1,0.756,0,-0.244,0
3.605189,0.03272032,1,0.758,0,-0.242,0
3.60768,0.03265159,1,0.76,0,-0.24,0
3.610172,0.03258287,1,0.762,0,-0.238,0
3.612633,0.0325185,1,0.764,0,-0.236,0
3.61508,0.03245621,1,0.766,0,-0.234,0
3.617512,0.03239579,1,0.768,0,-0.232,0
3.619914,0.03233922,1,0.77,0,-0.23,0
3.622315,0.03228266,1,0.772,0,-0.228,0
3.624686,0.03222915,1,0.774,0,-0.226,0
3.627042,0.03217712,1,0.776,0,-0.224,0
3.629383,0.03212592,1,0.778,0,-0.222,0
3.631693,0.03207642,1,0.78,0,-0.22,0
3.634002,0.03202693,1,0.782,0,-0.218,0
3.636281,0.03197769,1,0.784,0,-0.216,0
3.638544,0.03192859,1,0.786,0,-0.214,0
3.640792,0.03187871,1,0.788,0,-0.212,0
3.643008,0.03182723,1,0.79,0,-0.21,0
3.645224,0.03177575,1,0.792,0,-0.208,0
3.647409,0.03172102,1,0.794,0,-0.206,0
3.649577,0.03166472,1,0.796,0,-0.204,0
3.65173,0.03160598,1,0.798,0,-0.202,0
3.653851,0.03154216,1,0.8,0,-0.2,0
3.655972,0.03147835,1,0.802,0,-0.198,0
3.658061,0.03140816,1,0.804,0,-0.196,0
3.660133,0.0313349,1,0.806,0,-0.194,0
3.66219,0.03125798,1,0.808,0,-0.192,0
3.664214,0.03117346,1,0.81,0,-0.19,0
3.666238,0.03108894,1,0.812,0,-0.188,0
3.668229,0.03099632,1,0.814,0,-0.186,0
3.670204,0.0308998,1,0.816,0,-0.184,0
3.672163,0.03079925,1,0.818,0,-0.182,0
3.674089,0.03069036,1,0.82,0,-0.18,0
3.676014,0.03058147,1,0.822,0,-0.178,0
3.677906,0.03046472,1,0.824,0,-0.176,0
3.679782,0.0303442,1,0.826,0,-0.174,0
3.681642,0.0302203,1,0.828,0,-0.172,0
3.683468,0.0300894,1,0.83,0,-0.17,0
3.685294,0.02995849,1,0.832,0,-0.168,0
3.687086,0.02982201,1,0.834,0,-0.166,0
3.688861,0.02968284,1,0.836,0,-0.164,0
3.69062,0.02954187,1,0.838,0,-0.162,0
3.692345,0.02939713,1,0.84,0,-0.16,0
3.69407,0.02925239,1,0.842,0,-0.158,0
3.695761,0.029106,1,0.844,0,-0.156,0
3.697434,0.02895881,1,0.846,0,-0.154,0
3.699092,0.02881205,1,0.848,0,-0.152,0
3.700714,0.02866615,1,0.85,0,-0.15,0
3.702337,0.02852025,1,0.852,0,-0.148,0
3.703925,0.02837769,1,0.854,0,-0.146,0
3.705496,0.02823674,1,0.856,0,-0.144,0
3.70705,0.02809881,1,0.858,0,-0.142,0
3.708569,0.02796714,1,0.86,0,-0.14,0
3.710089,0.02783547,1,0.862,0,-0.138,0
3.711573,0.02771263,1,0.864,0,-0.136,0
3.71304,0.02759403,1,0.866,0,-0.134,0
3.71449,0.02748117,1,0.868,0,-0.132,0
3.715905,0.02738023,1,0.87,0,-0.13,0
3.71732,0.0272793,1,0.872,0,-0.128,0
3.7187,0.02719277,1,0.874,0,-0.126,0
3.720062,0.02711317,1,0.876,0,-0.124,0
3.721407,0.02704203,1,0.878,0,-0.122,0
3.722717,0.02698846,1,0.88,0,-0.12,0
3.724027,0.02693489,1,0.882,0,-0.118,0
3.725301,0.02690132,1,0.884,0,-0.116,0
3.726557,0.02687736,1,0.886,0,-0.114,0
3.727797,0.02686459,1,0.888,0,-0.112,0
3.729,0.02687507,1,0.89,0,-0.11,0
3.730204,0.02688554,1,0.892,0,-0.108,0
3.731371,0.02692176,1,0.894,0,-0.106,0
3.732521,0.02697036,1,0.896,0,-0.104,0
3.733654,0.02703301,1,0.898,0,-0.102,0
3.73475,0.02712482,1,0.9,0,-0.1,0
3.735847,0.02721663,1,0.902,0,-0.098,0
3.736907,0.02734029,1,0.904,0,-0.096,0
3.73795,0.02747927,1,0.906,0,-0.094,0
3.738975,0.02763527,1,0.908,0,-0.092,0
3.739964,0.02782667,1,0.91,0,-0.09,0
3.740953,0.02801806,1,0.912,0,-0.088,0
3.741905,0.02824747,1,0.914,0,-0.086,0
3.74284,0.02849517,1,0.916,0,-0.084,0
3.743757,0.02876267,1,0.918,0,-0.082,0
3.744638,0.02907136,1,0.92,0,-0.08,0
3.745518,0.02938004,1,0.922,0,-0.078,0
3.746362,0.02973164,1,0.924,0,-0.076,0
3.747188,0.03010388,1,0.926,0,-0.074,0
3.747997,0.03049756,1,0.928,0,-0.072,0
3.748768,0.03093578,1,0.93,0,-0.07,0
3.74954,0.031374,1,0.932,0,-0.068,0
3.750275,0.0318561,1,0.934,0,-0.066,0
3.750992,0.03235931,1,0.936,0,-0.064,0
3.751691,0.03288287,1,0.938,0,-0.062,0
3.752354,0.03344874,1,0.94,0,-0.06,0
3.753016,0.03401462,1,0.942,0,-0.058,0
3.753641,0.03461788,1,0.944,0,-0.056,0
3.754249,0.03523914,1,0.946,0,-0.054,0
3.754838,0.03587533,1,0.948,0,-0.052,0
3.755391,0.03654255,1,0.95,0,-0.05,0
3.755944,0.03720978,1,0.952,0,-0.048,0
3.756459,0.03789761,1,0.954,0,-0.046,0
3.756957,0.03859537,1,0.956,0,-0.044,0
3.757436,0.03929741,1,0.958,0,-0.042,0
3.757879,0.04000835,1,0.96,0,-0.04,0
3.758321,0.04071929,1,0.962,0,-0.038,0
3.758727,0.04142357,1,0.964,0,-0.036,0
3.759114,0.04212464,1,0.966,0,-0.034,0
3.759483,0.04281494,1,0.968,0,-0.032,0
3.759815,0.04348286,1,0.97,0,-0.03,0
3.760148,0.04415079,1,0.972,0,-0.028,0
3.760442,0.04477821,1,0.974,0,-0.026,0
3.760719,0.04538614,1,0.976,0,-0.024,0
3.760978,0.04596672,1,0.978,0,-0.022,0
3.7612,0.04649048,1,0.98,0,-0.02,0
3.761421,0.04701424,1,0.982,0,-0.018,0
3.761605,0.04746491,1,0.984,0,-0.016,0
3.761771,0.04788041,1,0.986,0,-0.014,0
3.76192,0.04825476,1,0.988,0,-0.012,0
3.76203,0.0485436,1,0.99,0,-0.01,0
3.762141,0.04883244,1,0.992,0,-0.008,0
3.762215,0.0490261,1,0.994,0,-0.006,0
3.76227,0.04917396,1,0.996,0,-0.004,0
3.762307,0.04927379,1,0.998,0,-0.002,0
3.762307,0.04927379,1,1,0,0,0
3.762307,0.04927379,1,1.002,0,0.002,0
3.76227,0.04917396,1,1.004,0,0.004,0
3.762215,0.0490261,1,1.006,0,0.006,0
3.762141,0.04883244,1,1.008,0,0.008,0
3.76203,0.0485436,1,1.01,0,0.01,0
3.76192,0.04825476,1,1.012,0,0.012,0
3.761771,0.04788041,1,1.014,0,0.014,0
3.761605,0.04746491,1,1.016,0,0.016,0
3.761421,0.04701424,1,1.018,0,0.018,0
3.7612,0.04649048,1,1.02,0,0.02,0
3.760978,0.04596672,1,1.022,0,0.022,0
3.760719,0.04538614,1,1.024,0,0.024,0
3.760442,0.04477821,1,1.026,0,0.026,0
3.760148,0.04415079,1,1.028,0,0.028,0
3.759815,0.04348286,1,1.03,0,0.03,0
3.759483,0.04281494,1,1.032,0,0.032,0
3.759114,0.04212464,1,1.034,0,0.034,0
3.758727,0.04142357,1,1.036,0,0.036,0
3.758321,0.04071929,1,1.038,0,0.038,0
3.757879,0.04000835,1,1.04,0,0.04,0
3.757436,0.03929741,1,1.042,0,0.042,0
3.756957,0.03859537,1,1.044,0,0.044,0
3.756459,0.03789761,1,1.046,0,0.046,0
3.755944,0.03720978,1,1.048,0,0.048,0
3.755391,0.03654255,1,1.05,0,0.05,0
