2022-01-13 12:01:39.188814 ,u_0,u_1,alpha_0,alpha_1,h
2022-01-13 12:01:39.190445 ,1.000000000000,-0.196666666667,-0.753268791464,-0.604212064409,-1.634440452022
2022-01-13 12:01:39.190451 ,1.000000000000,-0.193333333333,-0.751176873129,-0.593484313843,-1.636436605488
2022-01-13 12:01:39.190458 ,1.000000000000,-0.190000000000,-0.749125728817,-0.582782726962,-1.638397043543
2022-01-13 12:01:39.190464 ,1.000000000000,-0.186666666667,-0.747115078842,-0.572106744864,-1.640321852468
2022-01-13 12:01:39.190471 ,1.000000000000,-0.183333333333,-0.745144650257,-0.561455814861,-1.642211116687
2022-01-13 12:01:39.190477 ,1.000000000000,-0.180000000000,-0.743214176741,-0.550829390327,-1.644064918796
2022-01-13 12:01:39.190484 ,1.000000000000,-0.176666666667,-0.741323398493,-0.540226930526,-1.645883339577
2022-01-13 12:01:39.190490 ,1.000000000000,-0.173333333333,-0.739472062120,-0.529647900456,-1.647666458018
2022-01-13 12:01:39.190496 ,1.000000000000,-0.170000000000,-0.737659920541,-0.519091770697,-1.649414351336
2022-01-13 12:01:39.190503 ,1.000000000000,-0.166666666667,-0.735886732877,-0.508558017257,-1.651127094989
2022-01-13 12:01:39.190509 ,1.000000000000,-0.163333333333,-0.734152264366,-0.498046121420,-1.652804762701
2022-01-13 12:01:39.190516 ,1.000000000000,-0.160000000000,-0.732456286259,-0.487555569605,-1.654447426471
2022-01-13 12:01:39.190522 ,1.000000000000,-0.156666666667,-0.730798575735,-0.477085853220,-1.656055156597
2022-01-13 12:01:39.190529 ,1.000000000000,-0.153333333333,-0.729178915809,-0.466636468522,-1.657628021691
2022-01-13 12:01:39.190535 ,1.000000000000,-0.150000000000,-0.727597095249,-0.456206916479,-1.659166088692
2022-01-13 12:01:39.190541 ,1.000000000000,-0.146666666667,-0.726052908492,-0.445796702638,-1.660669422883
2022-01-13 12:01:39.190548 ,1.000000000000,-0.143333333333,-0.724546155564,-0.435405336987,-1.662138087906
2022-01-13 12:01:39.190554 ,1.000000000000,-0.140000000000,-0.723076642002,-0.425032333830,-1.663572145780
2022-01-13 12:01:39.190561 ,1.000000000000,-0.136666666667,-0.721644178780,-0.414677211655,-1.664971656907
2022-01-13 12:01:39.190567 ,1.000000000000,-0.133333333333,-0.720248582234,-0.404339493014,-1.666336680096
2022-01-13 12:01:39.190579 ,1.000000000000,-0.130000000000,-0.718889673993,-0.394018704392,-1.667667272566
2022-01-13 12:01:39.190586 ,1.000000000000,-0.126666666667,-0.717567280913,-0.383714376094,-1.668963489969
2022-01-13 12:01:39.190593 ,1.000000000000,-0.123333333333,-0.716281235007,-0.373426042118,-1.670225386393
2022-01-13 12:01:39.190599 ,1.000000000000,-0.120000000000,-0.715031373384,-0.363153240046,-1.671453014382
2022-01-13 12:01:39.190606 ,1.000000000000,-0.116666666667,-0.713817538187,-0.352895510921,-1.672646424943
2022-01-13 12:01:39.190612 ,1.000000000000,-0.113333333333,-0.712639576534,-0.342652399138,-1.673805667559
2022-01-13 12:01:39.190619 ,1.000000000000,-0.110000000000,-0.711497340462,-0.332423452329,-1.674930790199
2022-01-13 12:01:39.190625 ,1.000000000000,-0.106666666667,-0.710390611646,-0.322208159109,-1.676021839331
2022-01-13 12:01:39.190632 ,1.000000000000,-0.103333333333,-0.709319402885,-0.312006199674,-1.677078859929
2022-01-13 12:01:39.190639 ,1.000000000000,-0.100000000000,-0.708283504753,-0.301817066438,-1.678101895485
2022-01-13 12:01:39.190651 ,1.000000000000,-0.096666666667,-0.707282788429,-0.291640318908,-1.679090988019
2022-01-13 12:01:39.190658 ,1.000000000000,-0.093333333333,-0.706317129749,-0.281475519292,-1.680046178085
2022-01-13 12:01:39.190664 ,1.000000000000,-0.090000000000,-0.705386409168,-0.271322232400,-1.680967504785
2022-01-13 12:01:39.190671 ,1.000000000000,-0.086666666667,-0.704490511712,-0.261180025545,-1.681855005772
2022-01-13 12:01:39.190677 ,1.000000000000,-0.083333333333,-0.703629326941,-0.251048468437,-1.682708717262
2022-01-13 12:01:39.190684 ,1.000000000000,-0.080000000000,-0.702802748903,-0.240927133088,-1.683528674040
2022-01-13 12:01:39.190690 ,1.000000000000,-0.076666666667,-0.702010676098,-0.230815593715,-1.684314909468
2022-01-13 12:01:39.190697 ,1.000000000000,-0.073333333333,-0.701253011445,-0.220713426642,-1.685067455494
2022-01-13 12:01:39.190703 ,1.000000000000,-0.070000000000,-0.700529662242,-0.210620210204,-1.685786342655
2022-01-13 12:01:39.190710 ,1.000000000000,-0.066666666667,-0.699840540135,-0.200535524654,-1.686471600086
2022-01-13 12:01:39.190716 ,1.000000000000,-0.063333333333,-0.699185561086,-0.190458952070,-1.687123255526
2022-01-13 12:01:39.190723 ,1.000000000000,-0.060000000000,-0.698564645342,-0.180390076259,-1.687741335326
2022-01-13 12:01:39.190729 ,1.000000000000,-0.056666666667,-0.697977717410,-0.170328482669,-1.688325864449
2022-01-13 12:01:39.190736 ,1.000000000000,-0.053333333333,-0.697424706025,-0.160273758296,-1.688876866480
2022-01-13 12:01:39.190742 ,1.000000000000,-0.050000000000,-0.696905544130,-0.150225491596,-1.689394363632
2022-01-13 12:01:39.190749 ,1.000000000000,-0.046666666667,-0.696420168848,-0.140183272392,-1.689878376745
2022-01-13 12:01:39.190755 ,1.000000000000,-0.043333333333,-0.695968521462,-0.130146691789,-1.690328925295
2022-01-13 12:01:39.190762 ,1.000000000000,-0.040000000000,-0.695550547392,-0.120115342082,-1.690746027400
2022-01-13 12:01:39.190768 ,1.000000000000,-0.036666666667,-0.695166196180,-0.110088816673,-1.691129699816
2022-01-13 12:01:39.190775 ,1.000000000000,-0.033333333333,-0.694815421469,-0.100066709980,-1.691479957949
2022-01-13 12:01:39.190782 ,1.000000000000,-0.030000000000,-0.694498180986,-0.090048617352,-1.691796815854
2022-01-13 12:01:39.190788 ,1.000000000000,-0.026666666667,-0.694214436529,-0.080034134983,-1.692080286236
2022-01-13 12:01:39.190795 ,1.000000000000,-0.023333333333,-0.693964153953,-0.070022859828,-1.692330380459
2022-01-13 12:01:39.190801 ,1.000000000000,-0.020000000000,-0.693747303159,-0.060014389514,-1.692547108542
2022-01-13 12:01:39.190808 ,1.000000000000,-0.016666666667,-0.693563858083,-0.050008322257,-1.692730479165
2022-01-13 12:01:39.190814 ,1.000000000000,-0.013333333333,-0.693413796683,-0.040004256779,-1.692880499669
2022-01-13 12:01:39.190821 ,1.000000000000,-0.010000000000,-0.693297100938,-0.030001792220,-1.692997176060
2022-01-13 12:01:39.190827 ,1.000000000000,-0.006666666667,-0.693213756838,-0.020000528057,-1.693080513004
2022-01-13 12:01:39.190834 ,1.000000000000,-0.003333333333,-0.693163754379,-0.010000064018,-1.693130513838
2022-01-13 12:01:39.190841 ,1.000000000000,-0.000000000000,-0.693147087559,-0.000000000000,-1.693147180560
2022-01-13 12:01:39.190848 ,1.000000000000,0.003333333333,-0.693163754379,0.010000064018,-1.693130513838
2022-01-13 12:01:39.190854 ,1.000000000000,0.006666666667,-0.693213756838,0.020000528057,-1.693080513004
2022-01-13 12:01:39.190861 ,1.000000000000,0.010000000000,-0.693297100938,0.030001792220,-1.692997176060
2022-01-13 12:01:39.190868 ,1.000000000000,0.013333333333,-0.693413796683,0.040004256779,-1.692880499669
