t,err_u,err_alpha,int_h,int_h_ref
8.883000000000001,0.0031284818544162225,0.008625195252590371,-5.1659933160026466,-5.168781475152454
8.886000000000001,0.0031089900993077246,0.008635745305727202,-5.165994822740692,-5.168783060690643
8.889,0.003089419307981458,0.00864617022671461,-5.16599640185188,-5.168784637008422
8.892,0.003069775315400905,0.008656233302168574,-5.165998109233876,-5.168786204225943
8.895,0.003050065156149586,0.0086659406936349,-5.165999743500238,-5.168787762468304
8.898,0.0030302953757540847,0.008675458203268671,-5.1660013472276,-5.168789311861951
8.901,0.003010472843201814,0.008684389888826565,-5.166002916291383,-5.168790852535027
8.904,0.002990605467850937,0.008693117419770031,-5.166004796994895,-5.168792384599021
8.907,0.0029706997114164247,0.008701638766382497,-5.166006296998917,-5.168793908191203
8.91,0.0029507621261973876,0.008709925654173008,-5.166007893022527,-5.168795423421493
8.913,0.0029308025379038067,0.008717632506529509,-5.166009360643477,-5.168796930438918
8.916,0.00291082758098748,0.00872516463278204,-5.166011014641691,-5.168798429382968
8.919,0.002890845531807082,0.00873242768648982,-5.166012433755171,-5.1687999203801835
8.922,0.0028708646915364257,0.008739244876505743,-5.166014052705356,-5.1688014035557055
8.925,0.0028508954133063184,0.00874582403653232,-5.166015625476052,-5.168802879060656
8.928,0.0028309452827403104,0.00875212080877703,-5.166016977425983,-5.168804347019123
8.931000000000001,0.0028110243983358015,0.008758029155551768,-5.166018563395067,-5.168805807568668
8.934000000000001,0.0027911426356040958,0.008763632556784157,-5.1660200421636455,-5.168807260867502
8.937,0.0027713087746430894,0.00876913609027591,-5.1660215997621926,-5.1688087070520226
8.94,0.002751534374685649,0.008774102696965434,-5.166023073659231,-5.168810146259413
8.943,0.002731830579533057,0.008778769042395915,-5.166024657314207,-5.168811578615471
8.946,0.0027122092259960024,0.008783009328651375,-5.166026096998674,-5.16881300429091
8.949,0.00269268142667561,0.008787127272664855,-5.166027688564987,-5.168814423431242
8.952,0.0026732601914083963,0.008790870734170259,-5.166029140144656,-5.168815836158367
8.955,0.0026539578103689267,0.008794440103568883,-5.166030459731354,-5.168817242639301
8.958,0.002634788182885594,0.008797504700313393,-5.1660320463858485,-5.168818643022119
8.961,0.0026157647367904117,0.008800498636427612,-5.166033387043331,-5.168820037442143
8.964,0.0025969024940019876,0.008803222808430426,-5.166035123790662,-5.168821426043724
8.967,0.0025782173831109313,0.00880536380988136,-5.1660361824505845,-5.168822809003445
8.97,0.0025597251701260314,0.008807463913014044,-5.166037645153041,-5.168824186445485
8.973,0.0025414440993946673,0.008808994475103108,-5.166039292970347,-5.168825558516407
8.976,0.0025233905362439814,0.008810668287939017,-5.166040317435414,-5.1688269253781405
8.979000000000001,0.002505585928350058,0.008811619622153818,-5.166041979185599,-5.168828287184506
8.982,0.0024880475672705536,0.008812534876519663,-5.166043342647821,-5.168829644080256
8.985,0.002470798197225482,0.008813391784659801,-5.166044653726321,-5.168830996216708
8.988,0.0024538614621820707,0.008813601253438703,-5.16604633568612,-5.168832343749547
8.991,0.0024372600759492054,0.008813613266322502,-5.166047688892274,-5.168833686828436
8.994,0.0024210206821060213,0.00881389887778587,-5.166048917996836,-5.168835025587766
8.997,0.002405172052820036,0.008813127282993698,-5.166050590281952,-5.168836360197986
9.0,0.0023897426219752988,0.008812837838455994,-5.1660518138644145,-5.16883769079805
9.003,0.0023747657664461045,0.008812306210075758,-5.166053138960591,-5.168839017530148
9.006,0.0023602771414674476,0.008811505738535834,-5.16605475858323,-5.168840340552316
9.009,0.002346316520148084,0.008810272057433167,-5.166055988163493,-5.1688416600054214
9.012,0.0023329273396376716,0.008809140787039194,-5.166057244222217,-5.168842976037788
9.015,0.002320157555187957,0.008807657734411162,-5.1660586765496275,-5.168844288799465
9.018,0.0023080617244012826,0.008805802746478573,-5.1660599655863555,-5.1688455984343875
9.021,0.002296702793591417,0.008804157963268736,-5.166061153954784,-5.168846905089988
9.024000000000001,0.002286151750203071,0.008802258937708939,-5.166062528655753,-5.168848208909308
9.027000000000001,0.002276490654537976,0.008799968246298055,-5.166063919793757,-5.168849510038039
9.03,0.002267827145512139,0.00879819562217292,-5.166065292397428,-5.168850808619534
9.033,0.0022605659559368344,0.008796136772399536,-5.166066644763788,-5.16885210479703
9.036,0.002254919761192592,0.008793937486660498,-5.166067999498069,-5.168853398704512
9.039,0.0022504880117335995,0.008791365924183572,-5.166069398912419,-5.168854690490225
9.042,0.0022472054964889233,0.00878868415743125,-5.166070661380544,-5.168855980286717
9.045,0.002245041190043829,0.008785734059306416,-5.166072138215289,-5.168857268234496
9.048,0.002243987877918788,0.008782644700306888,-5.16607338192756,-5.168858554468226
9.051,0.002244054667758057,0.008779471984806993,-5.1660747579551165,-5.168859839122006
9.054,0.002245415858153303,0.00877612123061903,-5.1660759235534295,-5.168861122339108
9.057,0.002248659816137779,0.008772634348662947,-5.166077364905196,-5.168862404245029
9.06,0.002253104753249047,0.008769058839525317,-5.166078735857034,-5.168863684979374
9.063,0.0022585505463469306,0.008764950827821133,-5.166080031127466,-5.16886496467267
9.066,0.002264890516332411,0.008760740464619355,-5.1660812635820745,-5.168866243455473
9.069,0.0022720242780283,0.008756517869893793,-5.166082703675655,-5.168867521459871
9.072000000000001,0.00227986967312878,0.008751819428506192,-5.166083790360674,-5.168868798811712
9.075000000000001,0.0022883557302048343,0.008747076909391307,-5.166084885948206,-5.168870075643223
9.078,0.00229742530344267,0.008742341172913214,-5.166086448109733,-5.168871352057759
9.081,0.0023070269655696136,0.008737574630992987,-5.1660876349035885,-5.168872628195397
9.084,0.002317114895810609,0.008733024682407574,-5.166089059216083,-5.1688739041652845
9.087,0.0023276484980244224,0.008728147140800913,-5.166090192895509,-5.1688751800848465
9.09,0.0023385912698129364,0.008722573642193244,-5.166091708308409,-5.168876456083099
9.093,0.002349909750267415,0.008717407270472984,-5.166092874629369,-5.168877732263243
9.096,0.0023615721929804,0.008711411861018311,-5.16609419804802,-5.1688790087310315
9.099,0.0023735508214479343,0.008705206090395308,-5.166095678494407,-5.1688802856230005
9.102,0.0023858204575653874,0.008699147032700517,-5.166097049981439,-5.168881563028236
9.105,0.002398355512457294,0.008692496703969368,-5.166098296076632,-5.168882841041707
9.108,0.0024111339355054277,0.008685558722675428,-5.1660994938604015,-5.168884119788245
9.111,0.0024241345043308476,0.008678403348197986,-5.166100861362857,-5.168885399363583
9.114,0.0024373364979624677,0.008670843491844016,-5.166102169123694,-5.168886679879587
9.117,0.002450721316647857,0.008663143168385685,-5.166103683897724,-5.1688879614277266
9.120000000000001,0.0024642722534012314,0.008655268321929406,-5.166104711564799,-5.168889244102086
9.123,0.0024779727376740977,0.008647203054903994,-5.166106168626196,-5.168890527992838
9.126,0.002491806038431273,0.008638558954769084,-5.166107227968289,-5.168891813192454
9.129,0.0025057578038625754,0.008629621367877791,-5.166108651334605,-5.168893099782553
9.132,0.0025198141002884273,0.008620407940474178,-5.166109971831604,-5.168894387867754
9.135,0.0025339605368568234,0.008610845528189524,-5.166111373255514,-5.168895677514035
9.138,0.002548186267760703,0.008601198005982563,-5.166112583149719,-5.168896968824633
9.141,0.0025624781603209657,0.008591174478612856,-5.166113912654574,-5.1688982618753485
9.144,0.0025768248501560347,0.008580957354338756,-5.166115550157213,-5.168899556735773
9.147,0.0025912146589361588,0.008570148505737155,-5.166116534139118,-5.168900853490164
9.15,0.002605637208797816,0.008559133592959883,-5.166118016151308,-5.168902152199324
9.153,0.002620082208287638,0.008547855203964642,-5.166119238862122,-5.1689034529473785
9.156,0.0026345411436037186,0.008536350329439385,-5.1661205491541615,-5.168904755790095
9.159,0.0026490037557442545,0.008524288017220452,-5.16612191925756,-5.168906060795192
9.162,0.002663461115441954,0.008511949409910713,-5.166123279650863,-5.168907368022269
9.165000000000001,0.00267790450956824,0.00849940194994103,-5.166124515402692,-5.168908677532087
9.168000000000001,0.002692327337264505,0.008486624469427367,-5.166125930426358,-5.168909989383166
9.171,0.002706721068396332,0.008473551929393646,-5.1661273677104695,-5.168911303635478
9.174,0.0027210784391363983,0.008460211627800815,-5.166128487275851,-5.168912620343617
9.177,0.0027353905531890825,0.008446161009207028,-5.16613009853863,-5.16891393955387
9.18,0.0027496525127019495,0.008432205444257981,-5.166131371497971,-5.168915261318384
9.183,0.0027638562453630683,0.008417756713518257,-5.1661324976788014,-5.168916585691481
9.186,0.002777996680587514,0.008403238721102886,-5.166134061439537,-5.1689179126979194
9.189,0.002792066210631888,0.008388188595789513,-5.16613542738019,-5.168919242382885
9.192,0.002806060100408356,0.00837303504911695,-5.16613670735309,-5.16892057477239
9.195,0.0028199722916839648,0.008357502883765426,-5.166137784530583,-5.168921909905104
9.198,0.0028337963326114496,0.008341476763195913,-5.1661395202394536,-5.168923247817793
